시군구명,읍면동명,adm_cd,선거인수,투표수,새누리당,더불어민주당,국민의당,정의당,기독자유당,민주당,코리아,일제·위안부·인권정당,개혁국민신당,고용복지연금선진화연대,공화당,불교당,기독당,노동당,녹색당,민중연합당,복지국가당,친반통일당,통일한국당,한국국민당,한나라당,계,"무효
투표수",기권수
종로구,청운효자동,1101072,10747,7215,2338,1837,1679,759,92,20,4,5,1,1,3,2,21,48,262,21,7,0,3,4,18,7125,90,3532
종로구,사직동,1101053,8202,5284,1983,1180,1291,468,68,7,1,0,0,1,4,2,16,17,161,12,0,0,4,0,9,5224,60,2918
종로구,삼청동,1101054,2442,1518,577,337,327,152,17,5,0,0,0,0,1,2,3,8,52,5,0,0,0,0,4,1490,28,924
종로구,부암동,1101055,8450,5396,1851,1365,1166,604,69,12,2,1,2,1,1,8,12,26,182,11,1,0,3,0,11,5328,68,3054
종로구,평창동,1101056,15372,9779,3716,2202,2140,874,297,24,3,10,0,0,1,10,37,21,266,24,2,0,7,1,17,9652,127,5593
종로구,무악동,1101057,6433,4419,1447,1119,1158,411,61,16,1,3,2,0,0,4,13,14,93,7,1,2,0,0,6,4358,61,2014
종로구,교남동,1101058,3867,2193,689,649,518,149,59,11,1,1,0,5,0,1,5,6,39,4,0,0,1,1,10,2149,44,1674
종로구,가회동,1101060,4101,2724,928,713,594,264,30,9,1,3,1,2,0,6,7,14,91,6,0,1,2,3,6,2681,43,1377
종로구,종로1·2·3·4가동,1101061,7088,3511,1331,857,884,218,43,7,0,2,2,0,6,2,6,9,48,5,2,0,2,4,6,3434,77,3577
종로구,종로5·6가동,1101063,4984,2710,912,752,698,151,70,13,0,1,0,0,0,1,12,9,24,9,1,2,2,0,2,2659,51,2274
종로구,이화동,1101064,7473,4552,1183,1432,1155,467,71,17,3,3,1,5,1,0,12,16,99,19,2,1,0,0,3,4490,62,2921
종로구,혜화동,1101073,14789,9852,2643,2847,2489,1140,108,40,5,11,2,0,2,4,28,68,277,30,7,0,2,0,11,9714,138,4937
종로구,창신제1동,1101067,5068,2771,832,841,767,149,35,24,1,1,1,2,3,2,10,7,15,6,0,2,0,1,5,2704,67,2297
종로구,창신제2동,1101068,8386,4771,1289,1589,1380,196,71,34,3,4,1,4,1,5,17,15,25,11,4,0,2,3,9,4663,108,3615
종로구,창신제3동,1101069,6232,3993,1131,1221,1181,243,45,9,1,1,2,1,4,2,12,12,57,9,1,0,0,2,3,3937,56,2239
종로구,숭인제1동,1101070,5665,3274,992,1006,910,180,47,17,1,0,2,1,2,4,14,8,26,3,2,0,1,1,3,3220,54,2391
종로구,숭인제2동,1101071,8481,4557,1261,1466,1260,288,67,32,1,4,3,0,2,3,12,8,48,9,1,0,0,0,5,4470,87,3924
중구,소공동,1102052,1102,600,209,115,165,74,5,2,0,0,0,0,1,0,0,0,15,1,0,0,1,0,0,588,12,502
