SGG_NM,ADM_NMm,ADM_CD,관내외,선거인수,투표수,박원순,김문수,안철수,김종민,김진숙,인지연,신지예,우인철,최태현,무효
종로구,청운효자동,1101072,관내,9719,6057,3025,1420,1167,116,21,25,188,16,2,77
종로구,사직동,1101053,관내,8106,4972,2097,1453,1116,92,19,10,128,8,3,46
종로구,삼청동,1101054,관내,2307,1284,583,376,249,19,1,3,39,2,2,10
종로구,부암동,1101055,관내,7997,4780,2277,1255,915,88,24,18,126,9,1,67
종로구,평창동,1101056,관내,15012,8820,3702,2814,1785,157,28,26,206,19,5,78
종로구,무악동,1101057,관내,6306,4086,2005,917,921,90,13,7,66,12,5,50
종로구,교남동,1101058,관내,8372,5338,2540,1177,1281,111,25,10,117,12,4,61
종로구,가회동,1101060,관내,3787,2300,1137,594,395,59,5,5,63,7,2,33
종로구,종로1·2·3·4가동,1101061,관내,6385,2710,1207,811,520,45,11,9,51,6,5,45
종로구,종로5·6가동,1101063,관내,4492,2161,1029,565,442,23,12,4,36,6,1,43
종로구,이화동,1101064,관내,6951,3936,2154,777,725,67,23,12,97,11,4,66
종로구,혜화동,1101073,관내,14258,8882,4699,1751,1677,169,50,23,344,27,2,140
종로구,창신1동,1101067,관내,4732,2416,1326,516,436,27,15,16,30,7,3,40
종로구,창신2동,1101068,관내,8026,4223,2479,754,760,54,20,11,38,13,4,90
종로구,창신3동,1101069,관내,5999,3507,1903,739,667,72,16,5,48,9,2,46
종로구,숭인1동,1101070,관내,5419,2870,1553,578,588,32,11,11,37,8,1,51
종로구,숭인2동,1101071,관내,8434,4180,2407,825,727,55,23,11,62,5,4,61
중구,소공동,1102052,관내,1639,879,408,233,194,13,1,3,20,2,0,5
중구,회현동,1102054,관내,4773,2179,849,742,464,23,8,10,31,4,4,44
중구,명동,1102055,관내,2274,1093,469,365,203,16,5,2,19,1,1,12
중구,필동,1102057,관내,3528,2031,941,564,407,36,11,12,28,4,3,25
중구,장충동,1102058,관내,3944,2130,1118,478,389,37,12,10,50,9,2,25
중구,광희동,1102059,관내,4150,2006,864,633,397,38,10,5,31,1,3,24
중구,을지로동,1102060,관내,1460,694,278,240,143,8,1,4,6,4,1,9
중구,신당동,1102069,관내,6854,3346,1729,847,571,51,28,6,39,11,6,58
중구,다산동,1102070,관내,11845,6558,3453,1535,1145,106,26,22,117,15,12,127
중구,약수동,1102071,관내,14700,8899,4402,2206,1793,136,27,27,127,25,18,138
중구,청구동,1102072,관내,12096,7499,3766,1794,1528,97,35,19,130,12,13,105
중구,신당5동,1102065,관내,7848,4340,2356,986,739,68,15,12,67,6,9,82
중구,동화동,1102073,관내,8918,5553,2768,1363,1155,68,19,13,79,10,5,73
중구,황학동,1102067,관내,10434,5273,2831,1071,1033,94,35,14,85,15,5,90
중구,중림동,1102068,관내,9858,5982,3213,1250,1194,90,25,8,99,11,7,85
용산구,후암동,1103051,관내,14621,8195,4356,1787,1523,174,26,22,159,15,13,120
용산구,용산2가동,1103052,관내,9207,5052,2611,1209,848,107,26,8,144,9,5,85
용산구,남영동,1103053,관내,7221,3384,1773,774,614,62,19,17,65,7,1,52
용산구,청파동,1103071,관내,16209,8360,4169,2094,1451,140,55,20,308,14,9,100
용산구,원효로1동,1103072,관내,11994,7063,3545,1501,1602,132,23,7,155,13,5,80
용산구,원효로2동,1103057,관내,11585,7015,3442,1706,1444,168,24,10,117,21,8,75
용산구,효창동,1103058,관내,7449,4462,2191,1124,886,74,26,9,94,6,5,47
용산구,용문동,1103059,관내,10201,6255,3200,1374,1300,131,22,12,112,15,8,81
용산구,한강로동,1103073,관내,14221,7214,2861,2203,1803,101,18,15,125,13,8,67
용산구,이촌1동,1103063,관내,21506,12948,4324,4641,3413,179,27,22,224,19,8,91
용산구,이촌2동,1103064,관내,7440,4639,2041,1355,1000,76,23,10,60,8,5,61
용산구,이태원1동,1103065,관내,6274,2981,1233,987,593,49,11,7,57,8,2,34
용산구,이태원2동,1103066,관내,8014,4185,2049,1129,744,72,16,13,83,8,4,67
용산구,한남동,1103074,관내,17112,7836,3508,2418,1451,121,32,8,168,12,10,108
용산구,서빙고동,1103069,관내,10196,5871,1965,2193,1416,87,13,12,107,20,6,52
