시도명,구시군명,읍면동명,ADM_CD,선거인수,투표수,더불어민주당,자유한국당,바른미래당,민주평화당,정의당,민중당,대한애국당,국제녹색당,녹색당,우리미래,친박연대,계,무효투표수,기권수
서울특별시,종로구,청운효자동,1101072,9719,6058,2749,1494,703,54,785,29,31,5,114,12,8,5984,74,3661
서울특별시,종로구,사직동,1101053,8106,4964,1860,1604,670,30,622,10,14,6,86,6,5,4913,51,3142
서울특별시,종로구,삼청동,1101054,2307,1282,513,398,150,8,167,3,3,0,21,2,1,1266,16,1025
서울특별시,종로구,부암동,1101055,7997,4781,1997,1367,505,31,664,30,18,2,88,11,7,4720,61,3216
서울특별시,종로구,평창동,1101056,15012,8822,3366,3044,1102,43,971,20,29,5,138,11,8,8737,85,6190
서울특별시,종로구,무악동,1101057,6306,4086,1854,979,590,26,525,8,8,3,36,4,2,4035,51,2220
서울특별시,종로구,교남동,1101058,8372,5336,2484,1265,753,50,613,12,26,3,60,6,7,5279,57,3036
서울특별시,종로구,가회동,1101060,3787,2298,1033,645,241,7,278,6,11,1,37,8,7,2274,24,1489
서울특별시,종로구,종로1·2·3·4가동,1101061,6385,2708,1164,872,317,30,219,9,14,3,21,5,8,2662,46,3677
서울특별시,종로구,종로5·6가동,1101063,4492,2162,1065,614,254,38,120,8,9,0,16,4,1,2129,33,2330
서울특별시,종로구,이화동,1101064,6951,3936,2026,836,456,32,430,13,16,2,48,6,6,3871,65,3015
서울특별시,종로구,혜화동,1101073,14258,8881,4459,1875,1024,67,1028,43,36,8,172,16,13,8741,140,5377
서울특별시,종로구,창신제1동,1101067,4732,2415,1322,575,221,36,170,8,15,3,12,3,4,2369,46,2317
서울특별시,종로구,창신제2동,1101068,8026,4221,2521,801,436,92,220,12,20,3,11,13,9,4138,83,3805
서울특별시,종로구,창신제3동,1101069,5999,3505,1895,779,386,51,314,10,9,1,25,4,2,3476,29,2494
서울특별시,종로구,숭인제1동,1101070,5419,2870,1568,647,311,30,218,4,13,1,18,7,7,2824,46,2549
서울특별시,종로구,숭인제2동,1101071,8434,4178,2325,907,413,35,349,12,20,2,33,7,9,4112,66,4256
서울특별시,중구,소공동,1102052,1639,879,362,263,120,10,105,0,4,1,9,0,0,874,5,760
서울특별시,중구,회현동,1102054,4773,2179,846,862,198,70,125,4,8,1,14,3,6,2137,42,2594
서울특별시,중구,명동,1102055,2274,1093,444,413,80,43,81,2,2,1,12,0,1,1079,14,1181
서울특별시,중구,필동,1102057,3528,2032,942,586,175,113,138,5,10,1,14,7,6,1997,35,1496
서울특별시,중구,장충동,1102058,3944,2130,1070,539,185,85,179,9,6,1,20,4,1,2099,31,1814
서울특별시,중구,광희동,1102059,4150,2004,818,667,186,116,164,6,8,3,2,2,1,1973,31,2146
서울특별시,중구,을지로동,1102060,1460,694,265,261,58,43,45,1,6,0,2,0,3,684,10,766
서울특별시,중구,신당동,1102069,6854,3345,1608,957,290,147,233,11,10,1,11,7,6,3281,64,3509
서울특별시,중구,다산동,1102070,11845,6554,3362,1666,497,229,519,15,26,6,56,15,8,6399,155,5291
서울특별시,중구,약수동,1102071,14700,8899,4104,2453,946,360,744,22,36,4,65,16,13,8763,136,5801
서울특별시,중구,청구동,1102072,12096,7494,3556,2002,803,264,628,21,30,6,51,10,8,7379,115,4602
서울특별시,중구,신당제5동,1102065,7848,4336,2235,1085,304,240,316,19,16,3,20,10,11,4259,77,3512
서울특별시,중구,동화동,1102073,8918,5552,2643,1504,556,210,484,10,16,3,31,4,6,5467,85,3366
서울특별시,중구,황학동,1102067,10434,5272,2773,1214,481,227,371,24,21,2,38,13,10,5174,98,5162
서울특별시,중구,중림동,1102068,9858,5980,2898,1423,656,184,612,14,13,5,57,14,8,5884,96,3878
서울특별시,용산구,후암동,1103051,14621,8196,4231,1935,834,63,833,29,28,6,81,8,15,8063,133,6425
서울특별시,용산구,용산2가동,1103052,9207,5050,2494,1333,452,50,509,13,9,4,91,6,7,4968,82,4157
서울특별시,용산구,남영동,1103053,7221,3384,1698,836,352,28,316,18,26,3,26,5,5,3313,71,3837
서울특별시,용산구,청파동,1103071,16209,8357,4412,2063,774,79,724,43,26,2,96,10,10,8239,118,7852
서울특별시,용산구,원효로제1동,1103072,11994,7059,3381,1647,920,52,863,18,19,4,67,4,3,6978,81,4935
서울특별시,용산구,원효로제2동,1103057,11585,7017,3232,1839,819,46,895,18,24,7,43,12,6,6941,76,4568
서울특별시,용산구,효창동,1103058,7449,4462,2093,1202,510,37,483,27,13,3,39,6,5,4418,44,2987
서울특별시,용산구,용문동,1103059,10201,6252,3045,1449,811,40,725,17,19,4,46,14,6,6176,76,3949
서울특별시,용산구,한강로동,1103073,14221,7215,2735,2474,1131,59,601,11,28,5,69,8,9,7130,85,7006
서울특별시,용산구,이촌제1동,1103063,21506,12946,4165,5146,2245,63,1049,13,34,4,101,14,12,12846,100,8560
서울특별시,용산구,이촌제2동,1103064,7440,4638,2021,1457,574,55,388,11,17,2,42,3,7,4577,61,2802
서울특별시,용산구,이태원제1동,1103065,6274,2981,1152,1114,324,17,265,5,4,1,33,9,7,2931,50,3293
서울특별시,용산구,이태원제2동,1103066,8014,4188,1953,1239,381,31,425,9,17,1,65,7,2,4130,58,3826
서울특별시,용산구,한남동,1103074,17112,7830,3424,2586,807,46,722,11,23,4,82,9,8,7722,108,9282
서울특별시,용산구,서빙고동,1103069,10196,5870,1960,2410,817,36,450,4,25,6,46,16,10,5780,90,4326
