시군구,읍면동명,adm_cd,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,,,,,,,,,,,,,,,,계,,
종로구,청운효자동,1101072,9661,7014,122,2185,2161,725,40,43,11,515,16,554,3,5,3,25,4,2,119,2,2,7,76,0,2,10,11,11,80,0,1,47,4,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797,217,2647
종로구,사직동,1101053,7751,5453,79,2216,1323,462,42,17,9,468,16,335,0,1,3,24,3,1,120,0,0,2,44,0,0,5,8,8,57,2,1,19,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5276,177,2298
종로구,삼청동,1101054,2237,1507,27,524,442,148,14,9,1,92,7,93,0,0,0,12,0,0,18,0,1,0,17,0,0,5,0,3,12,0,0,12,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443,64,730
종로구,부암동,1101055,7850,5578,98,1902,1613,562,40,23,4,404,13,394,4,2,2,24,3,1,126,3,1,5,43,1,3,14,6,11,55,0,1,19,1,2,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5395,183,2272
종로구,평창동,1101056,14595,10441,154,4278,2390,961,69,40,12,768,19,651,5,6,1,38,4,4,455,2,3,2,55,0,0,13,5,16,87,0,5,67,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10123,318,4154
종로구,무악동,1101057,6616,5093,94,1744,1512,507,33,28,5,468,11,295,1,1,2,22,1,3,79,1,2,1,36,0,1,4,4,6,58,0,1,12,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4939,154,1523
종로구,교남동,1101058,8311,6174,134,2073,1828,586,56,31,7,545,16,368,5,5,3,26,2,1,98,0,0,1,46,0,3,3,10,9,55,2,2,33,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5953,221,2137
종로구,가회동,1101060,3873,2809,70,905,863,283,14,12,5,210,9,223,1,0,0,8,0,0,27,0,2,1,25,0,0,2,4,8,16,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2712,97,1064
종로구,종로1·2·3·4가동,1101061,6170,3465,75,1290,1004,269,47,23,1,216,23,178,0,3,2,36,1,3,47,0,2,5,11,0,2,2,3,12,25,2,4,16,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3312,153,2705
종로구,종로5·6가동,1101063,4600,2857,75,966,960,218,20,22,3,163,18,141,1,2,1,14,2,2,49,0,1,1,14,1,2,2,7,9,30,1,2,8,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742,115,1743
