시군구,읍면동명,adm_cd,선거인수,투표수,박영선,오세훈,신지혜,허경영,오태양,이수봉,배영규,김진아,송명숙,정동희,이도엽,신지예,계,무효투표수,기권수
종로구,청운효자동,1101072,9657,5936,2694,2983,34,63,10,15,0,37,19,0,1,46,5902,34,3721
종로구,사직동,1101053,8233,4922,1744,3004,28,34,15,5,0,24,8,2,1,36,4901,21,3311
종로구,삼청동,1101054,2152,1282,483,750,8,19,2,1,0,8,2,0,0,4,1277,5,870
종로구,부암동,1101055,8025,4814,2031,2615,25,47,6,6,1,14,11,1,2,26,4785,29,3211
종로구,평창동,1101056,15026,9275,3048,5916,42,86,15,15,1,48,15,5,1,44,9236,39,5751
종로구,무악동,1101057,6552,4298,1684,2451,22,28,4,14,0,36,8,4,0,23,4274,24,2254
종로구,교남동,1101058,8385,5401,2009,3170,25,51,10,12,0,37,9,1,5,28,5357,44,2984
종로구,가회동,1101060,3831,2425,1084,1241,12,20,10,6,0,17,8,1,1,14,2414,11,1406
종로구,종로1·2·3·4가동,1101061,6698,3227,1296,1817,14,39,10,3,2,13,3,1,3,9,3210,17,3471
종로구,종로5·6가동,1101063,4753,2401,948,1365,8,28,3,5,0,15,6,1,0,11,2390,11,2352
종로구,이화동,1101064,6748,3879,1727,1943,29,51,12,15,1,27,15,2,0,18,3840,39,2869
종로구,혜화동,1101073,14506,8432,3364,4583,98,90,26,22,0,78,20,4,3,60,8348,84,6074
종로구,창신1동,1101067,4887,2678,1259,1325,17,29,4,7,0,10,3,0,1,4,2659,19,2209
종로구,창신2동,1101068,7384,3701,1815,1774,10,31,2,7,1,11,8,0,1,9,3669,32,3683
종로구,창신3동,1101069,5679,3356,1500,1740,15,33,3,10,0,19,4,1,2,10,3337,19,2323
종로구,숭인1동,1101070,5222,2776,1238,1443,13,26,6,7,1,11,2,1,0,14,2762,14,2446
종로구,숭인2동,1101071,8647,4218,1932,2097,22,49,10,7,2,43,12,3,1,9,4187,31,4429
중구,소공동,1102052,1814,1023,363,612,6,12,1,3,0,10,2,0,0,6,1015,8,791
중구,회현동,1102054,4658,2287,756,1465,10,22,2,4,2,4,4,1,0,7,2277,10,2371
중구,명동,1102055,2586,1297,485,774,2,11,4,3,0,5,1,0,0,5,1290,7,1289
중구,필동,1102057,3989,2385,967,1301,11,32,6,6,0,15,5,1,1,12,2357,28,1604
중구,장충동,1102058,4238,2291,932,1236,18,26,4,8,0,18,13,0,0,5,2260,31,1947
중구,광희동,1102059,4522,2102,695,1324,10,18,5,2,0,18,4,3,2,6,2087,15,2420
중구,을지로동,1102060,1753,907,338,537,2,8,2,1,1,7,1,0,1,3,901,6,846
중구,신당동,1102069,7328,3810,1576,2087,19,32,4,9,0,23,17,2,1,10,3780,30,3518
중구,다산동,1102070,11918,6232,2580,3344,36,77,17,12,0,47,13,4,5,35,6170,62,5686
중구,약수동,1102071,14813,9008,3398,5361,35,65,9,16,0,38,6,4,3,27,8962,46,5805
중구,청구동,1102072,11791,7198,2771,4154,36,67,9,22,1,41,10,2,4,31,7148,50,4593
중구,신당5동,1102065,9304,4903,2136,2587,26,45,9,6,0,28,9,1,4,16,4867,36,4401
중구,동화동,1102073,8937,5359,2068,3091,16,48,3,10,2,50,20,2,2,15,5327,32,3578
중구,황학동,1102067,11159,5560,2339,3001,16,84,6,13,0,39,14,0,5,13,5530,30,5599
중구,중림동,1102068,10060,6077,2417,3463,18,58,8,10,0,38,8,1,1,23,6045,32,3983
용산구,후암동,1103051,14918,8202,3592,4271,34,100,16,23,0,47,20,3,3,38,8147,55,6716
용산구,용산2가동,1103052,8868,4544,1919,2384,33,47,17,13,0,34,15,1,2,41,4506,38,4324
용산구,남영동,1103053,7392,3763,1608,1997,22,53,8,9,0,17,8,3,2,10,3737,26,3629
용산구,청파동,1103071,16721,8099,3392,4145,68,102,16,26,1,193,29,4,3,59,8038,61,8622
용산구,원효로1동,1103072,13660,7911,2748,4851,40,57,10,14,2,76,15,2,1,28,7844,67,5749
용산구,원효로2동,1103057,11519,6772,2542,3983,31,58,12,16,2,54,11,2,3,24,6738,34,4747
용산구,효창동,1103058,8640,5266,2033,2991,34,46,9,9,0,52,12,1,2,32,5221,45,3374
용산구,용문동,1103059,10573,6287,2505,3548,42,43,7,16,0,39,18,3,1,17,6239,48,4286
용산구,한강로동,1103073,18136,10509,2695,7462,30,82,16,21,0,73,16,2,3,40,10440,69,7627
용산구,이촌1동,1103063,22304,14681,2863,11543,26,66,22,15,0,54,11,3,4,37,14644,37,7623
용산구,이촌2동,1103064,7245,4636,1452,3065,13,45,5,10,0,11,5,2,0,8,4616,20,2609
용산구,이태원1동,1103065,6456,3322,990,2220,12,29,13,5,0,14,4,1,0,13,3301,21,3134
용산구,이태원2동,1103066,8151,4172,1461,2537,19,43,16,4,1,37,9,1,1,29,4158,14,3979
용산구,한남동,1103074,17689,8780,2475,6035,22,80,20,9,1,44,16,2,0,32,8736,44,8909
용산구,서빙고동,1103069,10220,6145,1374,4602,18,46,8,9,1,29,6,1,2,17,6113,32,4075
용산구,보광동,1103070,12968,6422,2361,3807,26,57,17,13,0,37,16,2,1,40,6377,45,6546
성동구,금호1가동,1104059,12731,7253,2699,4322,29,65,5,6,1,34,18,2,1,19,7201,52,5478
성동구,금호2·3가동,1104072,19325,10766,4140,6300,39,98,10,21,1,59,10,6,2,24,10710,56,8559
성동구,금호4가동,1104062,12370,7445,2711,4541,28,51,10,18,0,27,7,5,2,14,7414,31,4925
성동구,옥수동,1104073,21749,13170,3815,9033,39,97,16,21,0,41,15,7,2,32,13118,52,8579
성동구,응봉동,1104058,13000,7868,2926,4687,32,69,8,26,0,38,13,3,1,25,7828,40,5132
성동구,성수1가1동,1104065,13897,7783,2509,4995,27,64,14,20,0,55,18,1,3,42,7748,35,6114
성동구,성수1가2동,1104066,11967,7275,2685,4302,29,69,8,25,1,54,15,1,4,25,7218,57,4692
성동구,성수2가1동,1104067,14765,7905,2778,4867,28,89,4,11,2,43,20,4,0,17,7863,42,6860
성동구,성수2가3동,1104068,9937,5632,1989,3433,23,53,6,11,1,38,14,5,1,14,5588,44,4305
성동구,왕십리도선동,1104071,22271,12703,4525,7703,42,127,16,23,3,90,20,3,4,53,12609,94,9568
성동구,왕십리2동,1104052,14401,8150,3494,4330,41,88,15,19,0,42,21,2,1,23,8076,74,6251
성동구,행당1동,1104056,12287,7470,2659,4505,38,85,9,27,2,49,18,3,3,26,7424,46,4817
성동구,행당2동,1104057,19295,11855,4469,6973,49,110,7,27,0,74,30,5,1,32,11777,78,7440
성동구,마장동,1104054,19423,10950,4368,6092,64,137,15,26,0,86,29,3,3,41,10864,86,8473
성동구,사근동,1104055,10356,4991,1789,2916,50,40,13,25,0,50,12,1,7,19,4922,69,5365
성동구,송정동,1104069,9283,4783,1980,2622,12,52,9,10,1,28,14,2,3,19,4752,31,4500
성동구,용답동,1104070,10715,5198,2362,2623,21,50,5,8,1,40,20,2,2,23,5157,41,5517
광진구,중곡1동,1105055,13765,7144,3202,3577,30,109,12,19,0,79,19,2,1,29,7079,65,6621
광진구,중곡2동,1105056,18767,9696,4251,4993,63,103,12,28,1,104,31,6,4,28,9624,72,9071
광진구,중곡3동,1105057,14483,7368,3174,3886,38,93,10,20,1,47,20,7,6,14,7316,52,7115
광진구,중곡4동,1105058,25433,14211,6183,7432,73,183,18,36,1,90,40,9,3,55,14123,88,11222
광진구,능동,1105059,10322,5774,2467,2949,37,81,13,17,0,80,17,2,3,32,5698,76,4548
광진구,구의1동,1105060,20159,10861,4636,5661,71,127,35,22,3,124,28,3,1,48,10759,102,9298
광진구,구의2동,1105061,22193,12493,5426,6603,61,130,18,28,1,78,23,3,2,45,12418,75,9700
광진구,구의3동,1105062,25136,16046,5367,10147,47,122,26,29,4,136,17,6,3,36,15940,106,9090
광진구,광장동,1105063,25020,15561,5128,10001,52,104,15,28,1,71,17,4,1,43,15465,96,9459
광진구,자양1동,1105064,20404,10982,4627,5878,52,124,41,24,3,80,35,3,3,39,10909,73,9422
광진구,자양2동,1105065,20783,11813,4518,6884,39,95,35,22,0,94,19,3,3,37,11749,64,8970
광진구,자양3동,1105066,23517,15190,5001,9769,44,98,28,20,1,82,21,4,4,37,15109,81,8327
광진구,자양4동,1105067,16430,8913,3320,5274,30,81,19,22,2,52,20,2,3,25,8850,63,7517
광진구,화양동,1105053,21582,9363,3439,5224,72,127,37,37,1,159,43,5,5,68,9217,146,12219
광진구,군자동,1105054,17430,8879,3705,4718,53,109,19,38,2,78,25,3,1,45,8796,83,8551
동대문구,용신동,1106081,27581,13682,5638,7464,65,132,18,39,2,117,36,3,2,51,13567,115,13899
동대문구,제기동,1106082,21806,11937,4510,6958,55,122,17,24,2,62,35,4,2,47,11838,99,9869
동대문구,전농1동,1106083,24765,13462,5297,7636,57,138,8,28,4,95,35,5,7,48,13358,104,11303
동대문구,전농2동,1106084,16550,10151,4098,5715,42,95,13,23,1,52,28,7,3,20,10097,54,6399
동대문구,답십리1동,1106091,23759,13676,5393,7799,54,117,22,34,3,90,38,1,4,38,13593,83,10083
동대문구,답십리2동,1106086,24010,13738,5721,7565,52,144,10,32,2,68,31,4,7,26,13662,76,10272
동대문구,장안1동,1106087,32970,17728,7521,9595,61,194,16,29,3,98,31,5,5,45,17603,125,15242
동대문구,장안2동,1106088,27353,15466,6573,8429,60,126,8,29,0,79,27,5,7,36,15379,87,11887
동대문구,청량리동,1106080,17094,9869,3552,5986,35,116,7,20,1,47,16,3,4,24,9811,58,7225
동대문구,회기동,1106071,10102,5712,2076,3272,64,52,17,17,0,73,20,3,1,44,5639,73,4390
동대문구,휘경1동,1106072,11591,6263,2386,3563,40,56,7,16,1,65,36,0,1,30,6201,62,5328
동대문구,휘경2동,1106073,19728,10732,4111,6123,66,104,14,40,0,91,32,2,3,42,10628,104,8996
동대문구,이문1동,1106089,15684,8537,3153,4930,52,93,20,19,3,79,36,3,2,59,8449,88,7147
