tot_emd,to_ga_001,to_ga_002,ga_sd_001,ga_sd_002,ga_sd_003,ga_sd_004,ga_sd_005,ga_sd_006,ga_sd_999
11010530,3701,2.17,677,1354,138,0,1395,107,0
11010540,1065,2.19,176,400,49,0,402,30,0
11010550,3663,2.49,692,1620,193,0,1051,78,0
11010560,6383,2.67,1345,3124,404,0,1371,87,0
11010570,2885,2.75,526,1669,173,0,485,0,0
11010580,4086,2.36,809,1886,138,0,1145,54,0
11010600,1750,2.37,310,694,75,0,617,50,0
11010610,3540,1.65,459,584,49,0,2226,205,0
11010630,2482,1.87,360,616,55,0,1376,57,0
11010640,3878,2.02,540,1071,109,0,2017,131,0
11010670,2251,1.96,368,742,69,0,994,68,0
11010680,3469,2.23,540,1465,146,0,1215,81,0
11010690,2621,2.51,527,1299,124,0,612,25,0
11010700,2616,2.18,436,1026,101,0,982,54,0
11010710,4665,1.78,604,1226,107,0,2525,173,0
11010720,4676,2.47,771,2218,263,0,1310,87,0
11010730,8921,2,1085,2227,287,0,4945,343,0
11020520,926,2.34,157,270,17,0,453,25,0
11020540,2197,1.88,341,632,50,0,1091,70,0
11020550,1159,2.11,185,259,26,0,652,35,0
11020570,1896,2.22,324,450,46,0,976,90,0
11020580,2581,1.86,300,601,54,0,1435,186,0
11020590,2378,1.8,412,563,59,0,1252,89,0
11020600,967,1.51,158,132,0,0,635,37,0
11020650,4840,2.01,754,1641,169,0,2133,104,0
11020670,6018,1.93,988,1814,162,0,2779,257,0
11020680,4980,2.29,910,2109,196,0,1593,142,0
11020690,3873,1.78,513,1028,93,0,2072,158,0
11020700,6227,2.16,1062,2333,256,0,2364,184,0
11020710,6983,2.29,1368,3119,286,0,2065,88,0
11020720,5730,2.3,1005,2481,270,0,1824,110,0
11020730,3741,2.68,651,2020,246,0,751,32,0
11030510,7093,2.26,1091,2921,268,0,2588,171,0
11030520,4497,2.08,755,1617,165,0,1785,164,0
11030530,3874,1.63,433,717,67,0,2463,184,0
11030570,5394,2.44,908,2618,234,0,1491,66,0
11030580,3801,2.43,734,1754,186,0,1016,73,0
11030590,4850,2.35,868,2213,206,0,1443,85,0
11030630,8897,2.73,1873,5163,435,0,1250,72,0
11030640,3287,2.41,743,1571,140,0,741,49,0
11030650,2980,1.88,509,837,96,0,1413,115,0
11030660,4051,1.97,668,1273,174,0,1769,161,0
11030690,4622,2.51,874,2306,200,0,1092,116,0
11030700,6602,1.97,944,2220,181,0,3021,205,0
11030710,9528,1.99,1300,2741,276,0,4889,280,0
11030720,6745,2.13,1246,2450,194,0,2596,236,0
11030730,7930,1.94,1490,2356,153,0,3495,393,0
11030740,9026,1.91,1567,2669,234,0,4091,435,0
